shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
comm_dir,42.33598,-71.16737,0
comm_dir,42.33618,-71.16683,1
comm_dir,42.33621,-71.16665,2
comm_dir,42.33623,-71.16641,3
comm_dir,42.33619,-71.16614,4
comm_dir,42.33616,-71.16576,5
comm_dir,42.33616,-71.16564,6
comm_dir,42.33586,-71.16562,7
comm_dir,42.33585,-71.16561,8
comm_dir,42.33581,-71.16541,9
comm_dir,42.33548,-71.16409,10
comm_dir,42.33527,-71.16336,11
comm_dir,42.33522,-71.16321,12
comm_dir,42.33523,-71.16307,13
comm_dir,42.33528,-71.16296,14
comm_dir,42.33562,-71.1632,15
comm_dir,42.33642,-71.16374,16
comm_dir,42.33669,-71.1639,17
comm_dir,42.33713,-71.16411,18
comm_dir,42.33812,-71.16455,19
comm_dir,42.33842,-71.16471,20
comm_dir,42.33868,-71.16498,21
comm_dir,42.33877,-71.1651,22
comm_dir,42.33897,-71.16543,23
comm_dir,42.33904,-71.16558,24
comm_dir,42.33918,-71.166,25
comm_dir,42.33991,-71.16612,26
comm_dir,42.34,-71.16534,27
comm_dir,42.34003,-71.1649,28
comm_dir,42.34006,-71.16398,29
comm_dir,42.34005,-71.16321,30
comm_dir,42.33999,-71.16106,31
comm_dir,42.33988,-71.16107,32
comm_dir,42.33999,-71.16106,33
comm_dir,42.33997,-71.16047,34
comm_dir,42.33991,-71.15986,35
comm_dir,42.3398,-71.15898,36
comm_dir,42.3397,-71.15846,37
comm_dir,42.33955,-71.15786,38
comm_dir,42.33936,-71.1572,39
comm_dir,42.33917,-71.15666,40
comm_dir,42.33901,-71.15626,41
comm_dir,42.33859,-71.15537,42
comm_dir,42.33831,-71.15475,43
comm_dir,42.33812,-71.1543,44
comm_dir,42.338,-71.15394,45
comm_dir,42.33796,-71.15364,46
comm_dir,42.33795,-71.15342,47
comm_dir,42.33802,-71.15321,48
comm_dir,42.3374,-71.15254,49
comm_dir,42.33696,-71.15203,50
comm_dir,42.3365,-71.15145,51
comm_dir,42.33623,-71.15112,52
comm_dir,42.33552,-71.15038,53
comm_dir,42.33544,-71.15028,54
comm_dir,42.33528,-71.15004,55
comm_dir,42.33509,-71.14973,56
comm_dir,42.33481,-71.14916,57
comm_dir,42.33509,-71.14973,58
comm_dir,42.33528,-71.15004,59
comm_dir,42.33544,-71.15028,60
comm_dir,42.33552,-71.15038,61
comm_dir,42.3359,-71.15077,62
comm_dir,42.33623,-71.15112,63
comm_dir,42.33717,-71.15229,64
comm_dir,42.33797,-71.15317,65
comm_dir,42.33802,-71.15321,66
comm_dir,42.33803,-71.15318,67
comm_dir,42.33807,-71.15309,68
comm_dir,42.33833,-71.15276,69
comm_dir,42.33862,-71.15252,70
comm_dir,42.33922,-71.15221,71
comm_dir,42.33953,-71.152,72
comm_dir,42.33991,-71.15168,73
comm_dir,42.34009,-71.15149,74
comm_dir,42.34032,-71.15122,75
comm_dir,42.3407,-71.1507,76
comm_dir,42.34081,-71.15052,77
comm_dir,42.34089,-71.15037,78
comm_dir,42.34093,-71.15042,79
comm_dir,42.34103,-71.15052,80
comm_dir,42.34073,-71.15095,81
comm_dir,42.3405,-71.15128,82
comm_dir,42.34033,-71.15149,83
comm_dir,42.34,-71.15184,84
comm_dir,42.33962,-71.15216,85
comm_dir,42.33931,-71.15238,86
comm_dir,42.3387,-71.15269,87
comm_dir,42.33857,-71.15278,88
comm_dir,42.33845,-71.15291,89
comm_dir,42.33826,-71.15323,90
comm_dir,42.3382,-71.15335,91
comm_dir,42.33818,-71.1535,92
comm_dir,42.33818,-71.15379,93
comm_dir,42.33822,-71.15404,94
comm_dir,42.33846,-71.15469,95
comm_dir,42.33888,-71.15558,96
comm_dir,42.33917,-71.15623,97
comm_dir,42.33938,-71.15676,98
comm_dir,42.3396,-71.15742,99
comm_dir,42.33983,-71.15836,100
comm_dir,42.34001,-71.15942,101
comm_dir,42.34008,-71.16004,102
comm_dir,42.34012,-71.16059,103
comm_dir,42.34022,-71.16393,104
comm_dir,42.34022,-71.16443,105
comm_dir,42.34016,-71.16541,106
comm_dir,42.3401,-71.16602,107
comm_dir,42.34008,-71.16614,108
comm_dir,42.34,-71.16613,109
comm_dir,42.33991,-71.16612,110
comm_dir,42.33918,-71.166,111
comm_dir,42.33918,-71.16619,112
comm_dir,42.33915,-71.16632,113
comm_dir,42.33882,-71.16718,114
comm_dir,42.33849,-71.16809,115
comm_dir,42.33828,-71.16865,116
comm_dir,42.33812,-71.16883,117
comm_dir,42.33804,-71.16889,118
comm_dir,42.33795,-71.16892,119
comm_dir,42.33783,-71.16892,120
comm_dir,42.33772,-71.1689,121
comm_dir,42.33757,-71.16882,122
comm_dir,42.33745,-71.16869,123
comm_dir,42.33733,-71.16854,124
comm_dir,42.33724,-71.16849,125
comm_dir,42.337,-71.16841,126
comm_dir,42.3361,-71.16808,127
comm_dir,42.33598,-71.168,128
comm_dir,42.33589,-71.16784,129
comm_dir,42.33589,-71.16769,130
comm_dir,42.33593,-71.1675,131
comm_dir,42.33598,-71.16737,132
comm_exp,42.33598,-71.16737,0
comm_exp,42.33618,-71.16683,1
comm_exp,42.33621,-71.16665,2
comm_exp,42.33623,-71.16641,3
comm_exp,42.33619,-71.16614,4
comm_exp,42.33616,-71.16576,5
comm_exp,42.33616,-71.16564,6
comm_exp,42.33586,-71.16562,7
comm_exp,42.33585,-71.16561,8
comm_exp,42.33581,-71.16541,9
comm_exp,42.33548,-71.16409,10
comm_exp,42.33527,-71.16336,11
comm_exp,42.33522,-71.16321,12
comm_exp,42.33523,-71.16307,13
comm_exp,42.33528,-71.16296,14
comm_exp,42.33562,-71.1632,15
comm_exp,42.33642,-71.16374,16
comm_exp,42.33669,-71.1639,17
comm_exp,42.33713,-71.16411,18
comm_exp,42.33812,-71.16455,19
comm_exp,42.33842,-71.16471,20
comm_exp,42.33868,-71.16498,21
comm_exp,42.33877,-71.1651,22
comm_exp,42.33897,-71.16543,23
comm_exp,42.33904,-71.16558,24
comm_exp,42.33918,-71.166,25
comm_exp,42.33991,-71.16612,26
comm_exp,42.34,-71.16534,27
comm_exp,42.34003,-71.1649,28
comm_exp,42.34006,-71.16398,29
comm_exp,42.34005,-71.16321,30
comm_exp,42.33999,-71.16106,31
comm_exp,42.33988,-71.16107,32
comm_exp,42.33999,-71.16106,33
comm_exp,42.33997,-71.16047,34
comm_exp,42.33991,-71.15986,35
comm_exp,42.3398,-71.15898,36
