trip_id,stop_id,arrival_time,departure_time,stop_sequence
comm_dir_0,4068910,07:00:00,07:01:00,0
comm_dir_0,4068922,07:04:03,07:05:03,1
comm_dir_0,4068930,07:05:26,07:06:26,2
comm_dir_0,4068938,07:09:39,07:10:39,3
comm_dir_0,4068942,07:12:08,07:13:08,4
comm_dir_0,4068946,07:15:17,07:16:17,5
comm_dir_0,4068950,07:17:41,07:18:41,6
comm_dir_0,4068934,07:19:26,07:20:26,7
comm_dir_0,4068926,07:21:01,07:22:01,8
comm_dir_0,4068906,07:24:58,07:25:58,9
comm_dir_1,4068910,07:15:00,07:16:00,0
comm_dir_1,4068922,07:19:03,07:20:03,1
comm_dir_1,4068930,07:20:26,07:21:26,2
comm_dir_1,4068938,07:24:39,07:25:39,3
comm_dir_1,4068942,07:27:08,07:28:08,4
comm_dir_1,4068946,07:30:17,07:31:17,5
comm_dir_1,4068950,07:32:41,07:33:41,6
comm_dir_1,4068934,07:34:26,07:35:26,7
comm_dir_1,4068926,07:36:01,07:37:01,8
comm_dir_1,4068906,07:39:58,07:40:58,9
comm_dir_2,4068910,07:30:00,07:31:00,0
comm_dir_2,4068922,07:34:03,07:35:03,1
comm_dir_2,4068930,07:35:26,07:36:26,2
comm_dir_2,4068938,07:39:39,07:40:39,3
comm_dir_2,4068942,07:42:08,07:43:08,4
comm_dir_2,4068946,07:45:17,07:46:17,5
comm_dir_2,4068950,07:47:41,07:48:41,6
comm_dir_2,4068934,07:49:26,07:50:26,7
comm_dir_2,4068926,07:51:01,07:52:01,8
comm_dir_2,4068906,07:54:58,07:55:58,9
comm_dir_3,4068910,07:40:00,07:41:00,0
comm_dir_3,4068922,07:44:03,07:45:03,1
comm_dir_3,4068930,07:45:26,07:46:26,2
comm_dir_3,4068938,07:49:39,07:50:39,3
comm_dir_3,4068942,07:52:08,07:53:08,4
comm_dir_3,4068946,07:55:17,07:56:17,5
comm_dir_3,4068950,07:57:41,07:58:41,6
comm_dir_3,4068934,07:59:26,08:00:26,7
comm_dir_3,4068926,08:01:01,08:02:01,8
comm_dir_3,4068906,08:04:58,08:05:58,9
comm_dir_4,4068910,07:50:00,07:51:00,0
comm_dir_4,4068922,07:54:03,07:55:03,1
comm_dir_4,4068930,07:55:26,07:56:26,2
comm_dir_4,4068938,07:59:39,08:00:39,3
comm_dir_4,4068942,08:02:08,08:03:08,4
comm_dir_4,4068946,08:05:17,08:06:17,5
comm_dir_4,4068950,08:07:41,08:08:41,6
comm_dir_4,4068934,08:09:26,08:10:26,7
comm_dir_4,4068926,08:11:01,08:12:01,8
comm_dir_4,4068906,08:14:58,08:15:58,9
comm_dir_5,4068910,10:00:00,10:01:00,0
comm_dir_5,4068922,10:04:03,10:05:03,1
comm_dir_5,4068930,10:05:26,10:06:26,2
comm_dir_5,4068938,10:09:39,10:10:39,3
comm_dir_5,4068942,10:12:08,10:13:08,4
comm_dir_5,4068946,10:15:17,10:16:17,5
comm_dir_5,4068950,10:17:41,10:18:41,6
comm_dir_5,4068934,10:19:26,10:20:26,7
comm_dir_5,4068926,10:21:01,10:22:01,8
comm_dir_5,4068906,10:24:58,10:25:58,9
comm_dir_6,4068910,10:07:00,10:08:00,0
comm_dir_6,4068922,10:11:03,10:12:03,1
comm_dir_6,4068930,10:12:26,10:13:26,2
comm_dir_6,4068938,10:16:39,10:17:39,3
comm_dir_6,4068942,10:19:08,10:20:08,4
comm_dir_6,4068946,10:22:17,10:23:17,5
comm_dir_6,4068950,10:24:41,10:25:41,6
comm_dir_6,4068934,10:26:26,10:27:26,7
comm_dir_6,4068926,10:28:01,10:29:01,8
comm_dir_6,4068906,10:31:58,10:32:58,9
comm_dir_7,4068910,10:15:00,10:16:00,0
comm_dir_7,4068922,10:19:03,10:20:03,1
comm_dir_7,4068930,10:20:26,10:21:26,2
comm_dir_7,4068938,10:24:39,10:25:39,3
comm_dir_7,4068942,10:27:08,10:28:08,4
comm_dir_7,4068946,10:30:17,10:31:17,5
comm_dir_7,4068950,10:32:41,10:33:41,6
